y,x1,x2
3.987880008,4.485895486,2.697964581
25.02117292,4.118013169,4.196103974
2.381764415,4.71099466,0.200595851
8.937894047,4.704121404,3.617910044
0.812347415,1.724039241,1.093644444
2.974267094,3.561528621,3.178109971
2.200785055,3.426600501,2.01428581
98.28338538,2.481627208,4.974245419
21.90715248,4.62046196,1.913634851
13.46610441,1.949348022,0.758823946
3.326370045,0.317027555,2.583074153
3.093976352,4.733071149,1.773824514
11.85919358,0.012086427,1.034608835
1.226736377,3.222219093,0.796379677
15.9212101,2.084611065,0.950301101
9.570891822,2.991471917,0.070038447
104.2113648,0.026731753,3.499070118
1.043672862,2.952509564,1.004183172
53.85261393,2.243760055,2.945952388
8.058871896,0.758331312,4.925116978
2.818922291,2.30174951,0.522893019
20.88052155,3.788420038,4.787658667
3.27297893,0.492382847,0.787626691
5.204743727,0.266878702,0.551553944
2.407273901,2.744256605,0.050059998
8.950405644,0.639904195,0.283676358
7.847806088,4.728292002,3.318944064
35.48491591,2.513009741,3.970002416
21.28250327,4.80078821,3.265857159
13.81941826,1.811772754,3.892517911
12.41580573,1.671672954,3.082507689
11.37225869,2.55074459,4.570662938
3.245202913,4.516159279,0.230011841
9.857984671,4.193751991,4.918068248
10.0227817,0.676622004,1.834919358
173.7408863,1.477440281,3.132937117
17.21204243,2.161567047,1.66486291
4.684991826,3.383029694,2.423361486
5.689529272,0.430189675,0.00193703
41.40202668,1.855029457,2.107695317
4.3021966,3.414128862,0.079803803
20.1432495,3.379032805,0.540265066
0.94720105,4.822652058,2.634670859
25.14906474,1.976759302,2.561960861
6.416420344,4.193050155,0.913858408
6.179212704,2.350730351,2.835303344
10.33673233,1.705297908,2.685877141
223.4404628,0.75101161,4.781351461
1.281287779,0.840536308,0.024612092
17.81635952,1.71641266,2.59183704
20.3816034,0.980136918,4.147077997
6.241230532,3.831925654,0.510175789
7.746434546,1.931706631,1.064607617
15.26810878,1.734592211,2.729428809
1.086075129,1.371621045,1.555324743
1.625260459,3.897807589,1.919495277
1.169341968,4.365322773,1.137395089
74.78903193,1.054892641,3.221235116
37.62215952,1.135124424,0.651581811
30.70957085,3.221855955,3.774201437
1.417742108,0.176118818,0.345352371
5.843258828,4.832513221,3.437984944
5.854036932,2.359171655,1.029993008
2.76275678,1.770587964,1.737335639
26.33324651,1.222750847,1.561856131
33.55278454,2.831439576,3.085997857
21.4104215,3.595891793,2.219581645
0.526183182,4.877172511,0.735550476
40.9105326,1.613375546,1.786005524
4.299774045,0.385232141,3.074764825
5.136585959,0.464771804,0.645244747
16.86559774,2.686224619,3.427160027
1.906429582,2.422229581,0.883840757
4.81609644,0.341681028,0.413638857
8.340631915,0.927383013,1.794014896
18.82962758,3.681217894,4.423993407
8.068421148,4.169471496,2.969138196
8.374573715,3.034613319,0.751436285
23.39571418,3.681835848,2.663311784
6.711800323,2.890350695,2.895932607
10.60824059,1.628403218,2.656707381
12.82424627,1.806874172,4.313161818
14.51194611,0.533311256,0.987361576
6.308003387,2.901830123,2.832970478
7.770854417,4.699687696,4.216017253
64.89396186,1.449298422,0.649804602
9.50450298,2.688030051,0.575101173
6.986222681,4.015076204,3.896335994
12.99757472,3.819088984,4.608949673
91.14896584,0.925093602,3.383156731
23.31377221,1.510053152,2.876543368
146.7727084,1.716640613,4.258510844
1.475257385,2.482046076,1.986907321
26.49786495,4.28760807,4.425706069
37.43395495,2.248962722,3.865087322
20.77455938,0.930823861,4.801719132
4.888149615,1.924041641,0.977710022
16.31407329,4.467580193,1.025985734
3.396021802,2.956433449,4.048382543
24.56369291,3.396168796,4.654535006
