"y","x"
34.4865623844001,6.2
40.2537241864497,6.9
24.0363725311243,3.4
21.1175516518838,2.1
75.2657313224222,8.2
47.7825757442482,5.8
14.9717582671849,1.2
11.6150140820361,2.9
86.8066119781064,9.5
57.562499946203,8.1
22.298388461825,5.3
7.42227275840713,3.2
64.543355882525,7.8
51.0561348949906,6.7
70.8883511932592,8.8
68.7710744581332,7
14.8328467084698,1.9
41.4876056003276,5.2
23.7526292044621,3.9
80.135421170709,9
3.95192924411689,3.1
37.0561802488322,4.7
11.5389632161369,1.3
102.347141228055,9.9
21.6299146973127,3.8
